activity_name,event_count
Mobile.Schedule.Loaded,49540
Scheduling.Shift.Created,31818
Scheduling.Shift.AssignmentChanged,7608
PunchClock.PunchedIn,4833
Scheduling.Shift.Approved,2550
Communication.Message.Created,1576
ShiftDetails.View.Opened,1433
Scheduling.Availability.Set,1084
Scheduling.Template.ApplyModal.Applied,468
Absence.Request.Created,388
Absence.Request.Approved,337
Scheduling.OpenShiftRequest.Created,261
Break.Activate.Started,161
Break.Activate.Finished,159
PunchClockEndNote.Add.Completed,136
PunchClock.PunchedOut,123
PunchClock.Entry.Edited,91
PunchClockStartNote.Add.Completed,57
Absence.Request.Rejected,52
Timesheets.BulkApprove.Confirmed,49
Integration.Xero.PayrollExport.Synced,31
Scheduling.ShiftSwap.Created,31
Revenue.Budgets.Created,30
Scheduling.ShiftSwap.Accepted,28
Scheduling.ShiftHandover.Accepted,21
Scheduling.ShiftHandover.Created,21
Scheduling.OpenShiftRequest.Approved,6
Shift.View.Opened,3
